Date,Unemployment_Rate
2015-01-01,5.15
2015-02-01,5.21
2015-03-01,5.64
2015-04-01,5.97
2015-05-01,5.38
2015-06-01,5.21
2015-07-01,5.51
2015-08-01,5.02
2015-09-01,4.47
2015-10-01,4.71
2015-11-01,4.48
2015-12-01,4.67
2016-01-01,5.14
2016-02-01,4.74
2016-03-01,4.99
2016-04-01,5.41
2016-05-01,5.21
2016-06-01,5.43
2016-07-01,4.82
2016-08-01,4.43
2016-09-01,5.11
2016-10-01,4.54
2016-11-01,4.7
2016-12-01,4.44
2017-01-01,4.96
2017-02-01,5.41
2017-03-01,5.22
2017-04-01,5.75
2017-05-01,5.4
2017-06-01,5.32
2017-07-01,4.98
2017-08-01,5.47
2017-09-01,4.73
2017-10-01,4.36
2017-11-01,4.99
2017-12-01,4.57
2018-01-01,5.25
2018-02-01,4.86
2018-03-01,5.23
2018-04-01,5.76
2018-05-01,5.87
2018-06-01,5.52
2018-07-01,5.19
2018-08-01,4.89
2018-09-01,4.36
2018-10-01,4.52
2018-11-01,4.67
2018-12-01,5.31
2019-01-01,5.36
2019-02-01,4.98
2019-03-01,5.79
2019-04-01,5.65
2019-05-01,5.5
2019-06-01,5.71
2019-07-01,5.59
2019-08-01,5.32
2019-09-01,4.61
2019-10-01,4.71
2019-11-01,4.97
2019-12-01,5.35
2020-01-01,5.17
2020-02-01,5.52
2020-03-01,8.43
2020-04-01,8.39
2020-05-01,8.7
2020-06-01,8.34
2020-07-01,7.25
2020-08-01,6.9
2020-09-01,6.14
2020-10-01,5.44
2020-11-01,5.55
2020-12-01,5.9
2021-01-01,5.37
2021-02-01,6.1
2021-03-01,5.04
2021-04-01,6.14
2021-05-01,5.86
2021-06-01,5.57
2021-07-01,5.44
2021-08-01,4.57
2021-09-01,4.92
2021-10-01,5.03
2021-11-01,5.44
2021-12-01,5.03
2022-01-01,5.2
2022-02-01,5.55
2022-03-01,6.16
2022-04-01,6.06
2022-05-01,5.74
2022-06-01,5.87
2022-07-01,5.5
2022-08-01,5.52
2022-09-01,4.84
2022-10-01,4.89
2022-11-01,4.94
2022-12-01,4.81
